artigo_id,ano,tarefa,titulo,venue,doi,elegivel_etapa1,motivo_exclusao,observacoes_elegibilidade
ID_07,2022,FER,An Adaptive Deep Belief Feature Learning Model for Cognitive Emotion Recognition,8th International Conference on Advanced Computing and Communication Systems,10.1109/ICACCS54159.2022.9785267,,,
ID_17,2023,FER,Cross-Database Facial Expression Recognition using CNN with Attention Mechanism,IEEE ICCCNT 2023,10.1109/ICCCNT56998.2023.10308238,,,
ID_18,2023,FER,Deep Learning for Facial Expression Recognition using EfficientNetB0,Global Conference on Information Technologies and Communications,10.1109/GCITC60406.2023.10426615,,,
ID_24,2023,FER,Facial Expression Recognition in the Wild using Artificial Rabbits Optimizer based Residual Neural Network,IEEE ICAICCIT 2023,10.1109/ICAICCIT60255.2023.10466005,,,
ID_27,2023,FER,Identification of Emotions From Facial Gestures in a Teaching Environment With the Use of Machine Learning Techniques,IEEE ACCESS,10.1109/ACCESS.2023.3267007,,,
ID_12,2024,FER,Breaking New Ground in Affective Computing: Enhanced Facial Expression Classification via CNN-SVM Integration,Asia Pacific Conference on Innovation in Technology,10.1109/APCIT62007.2024.10673502,,,
ID_15,2024,FER,Cognitive Resonance in Emotional Decoding: A CNN-ResNetB0 Synergy,ICDT 2024,10.1109/ICDT61202.2024.10489327,,,
ID_16,2024,FER,Comparative Analysis of CNN and SVM Models for Facial Emotion Recognition,"International Conference on Electronics, Computing, Communication and Control Technology",10.1109/ICECCC61767.2024.10593953,,,
ID_23,2024,FER,Facial Emotion Recognition (FER) Through Custom Lightweight CNN Model: Performance Evaluation in Public Datasets,IEEE ACCESS,10.1109/ACCESS.2024.3380847,,,
ID_25,2024,FER,Facial Expression Recognition with Transfer Learning: A Deep Dive,IEEE TQCEBT 2024,10.1109/TQCEBT59414.2024.10545031,,,
ID_39,2024,FER,FacePsy: An Open-Source Affective Mobile Sensing,Proceedings of the ACM on Human-Computer Interaction,10.1145/3676505,,,
